Date,AddTicker,RemovedTicker,CURRENT TICKERS,STARTING TICKERS
1/3/00,NCR,,MMM,AA
1/5/00,YNR,NLV,AOS,AAPL
1/28/00,BGEN,FWLT,ABT,ABI
1/28/00,CNXT,CNG,ABBV,ABS
1/28/00,HOG,FLE,ABMD,ABT
3/15/00,TSG,SCI,ACN,ABX
3/31/00,LLTC,PNU,ATVI,ACKH
3/31/00,,PBY,ADM,ACV
5/4/00,SEBL,,ADBE,ADBE
5/4/00,SAPE,RLM,ADP,ADCT
5/9/00,MXIM,JOS,AAP,ADI
5/31/00,APCC,,AES,ADM
6/2/00,A,NC,AFL,ADP
6/7/00,SBUX,SMS,A,SXCL
6/12/00,CVG,TMC.A,AIG,ADSK
6/15/00,MEDI,CSR,APD,AEE
6/15/00,,UMG,AKAM,AEP
6/16/00,,CHA,ALK,AES
6/20/00,SANM,WLA,ALB,AET
6/20/00,TIF,,ARE,AFL
6/28/00,MERQ,MZ,ALGN,AFS.A
6/28/00,VC,IKN,ALLE,AGC
6/30/00,BRCM,,LNT,AGN
7/5/00,,USW,ALL,AIG
7/12/00,JNS,KSU,GOOGL,ALL
7/14/00,CIT,UPR,GOOG,AM
7/26/00,VIAV,RAD,MO,AMAT
7/27/00,PALM,COMS,AMZN,AMD
8/18/00,KSE,NCE,AMCR,AMGN
8/29/00,DVN,GAP,AMD,ANDW
9/29/00,AV,OC,AEE,AON
10/2/00,KG,YNR,AAL,APA
10/2/00,MCO,DNB,AEP,APC
10/2/00,DYN,BFO,AXP,APD
10/17/00,NBR,MKG,AMT,ASH
10/20/00,PWER,UCM,AWK,ASO
11/1/00,NI,CG,AMP,ATI
11/1/00,EOG,EFU,ABC,AVP
11/3/00,BVSN,PWJ,AME,AVY
11/16/00,HOT,ACKH,AMGN,AW
11/21/00,FRX,SEG,APH,AXP
11/22/00,CHIR,FJ,ADI,AZA.A
11/30/00,CPN,FPC,ANSS,AZO
12/1/00,,AFS.A,ANTM,BA
12/4/00,RHI,,AON,BAC
12/8/00,AYE,BS,APA,BAX
12/8/00,AMBC,CCK,AAPL,BBBY
12/8/00,SBL,GRA,AMAT,TFC
12/8/00,MET,VO,APTV,BBY
12/8/00,INTU,OI,ANET,BC
12/11/00,VTSS,SMI,AJG,BCR
12/11/00,SYK,RML,AIZ,BDK
12/11/00,QLGC,PRD,T,BDX
12/11/00,KMI,NGH,ATO,BEN
12/21/00,FLR,MEE,ADSK,BF.B
12/29/00,AMCC,,AZO,BFO
1/12/01,NE,,AVB,BGG
1/29/01,JBL,CGP,AVY,BKR
2/6/01,UVN,UK,BKR,BIG
2/26/01,FTR,,BLL,BK
2/28/01,CTAS,SUB,BAC,BLL
3/30/01,,CEN,BBWI,BLS
3/30/01,FISV,OK,BAX,BMMI
4/2/01,,BGG,BDX,BMET
5/11/01,PBG,SXCL,BRK.B,BMS
6/1/01,MWW,CIT,BBY,BMY
6/22/01,ZION,AZA.A,BIO,BNI
6/27/01,JHF,,TECH,BOL
6/29/01,COL,LDG,BIIB,BS
7/6/01,AWE,PCH,BLK,BSC
8/2/01,PMCS,OAT,BK,BSX
8/3/01,FDO,ETS,BA,C
8/6/01,ZBH,TKR,BKNG,CA
8/29/01,CIEN,AGC,BWA,CAG
8/29/01,ABC,OKE,BXP,CAH
8/31/01,XL,,BSX,CAT
8/31/01,,BVSN,BMY,CBE
9/17/01,,TOS,AVGO,VIAC
9/20/01,IMNX,,BR,CCE
10/9/01,TE,,BRO,CCK
10/9/01,EOP,TX,BF.B,CCL
11/6/01,HMA,GPU,CHRW,CAR
11/29/01,NVDA,ENRNQ,CDNS,CEG
11/30/01,EQR,NSI,CZR,CEN
12/12/01,,RAL,CPB,CFC
12/13/01,GENZ,,COF,CG
12/14/01,JNY,HM,CAH,CGP
12/31/01,WAT,FMC,KMX,CHA
1/16/02,PCL,KM,CCL,CI
1/29/02,CB,MEA,CARR,CIN
1/31/02,RATL,NMK,CTLT,CINF
2/8/02,MI,,CAT,CL
5/3/02,FHN,CPQ,CBOE,CLX
5/10/02,,SAPE,CBRE,CMA
5/14/02,BJS,U,CDW,CMI
5/14/02,APOL,WCOM,CE,CMS
6/25/02,SPG,CNXT,CNC,CMVT
7/16/02,NFB,IMNX,CNP,CNG
7/19/02,EA,PDG,CDAY,CNO
7/19/02,UPS,RD,CERN,CNP
7/19/02,GS,UN,CF,COC.B
7/19/02,PRU,NT,CRL,COF
7/19/02,EBAY,,SCHW,COMS
7/19/02,PFG,ABX,CHTR,COP
7/19/02,SDS,,CVX,COST
7/24/02,ANTM,CNO,CMG,CPB
8/13/02,MON,PALM,CB,CPQ
8/20/02,TAP.B,VTSS,CHD,CPWR
8/30/02,,COC.B,CI,CR
9/3/02,RAI,,CINF,CSC
11/18/02,CMCSA,,CTAS,CSCO
12/11/02,DGX,,CSCO,CSR
2/21/03,AN,RATL,C,CSX
3/13/03,AIV,,CFG,CTB
3/20/03,MKC,EHC,CTXS,LUMN
3/28/03,NLOK,,CLX,CTX
4/15/03,FHI,PHA,CME,CTXS
7/16/03,PLD,,CMS,CVS
8/19/03,MHS,MDR,KO,CVX
9/25/03,ESRX,QTRN,CTSH,D
11/12/03,BIIB,BGEN,CL,DAL
2/26/04,MTB,,CMCSA,DAN
3/24/04,CMX,TUP,CMA,DDS
3/31/04,ETFC,FBF,CAG,DE
4/1/04,ACS,TAP.B,COP,DELL
4/28/04,VLO,JHF,ED,DG
4/30/04,HSP,AM,STZ,DHR
6/30/04,GILD,ONE,COO,DIS
6/30/04,SOV,UPC,CPRT,DJ
8/2/04,FSH,TNB,GLW,DLX
8/31/04,TPR,,CTVA,DNB
10/26/04,CIT,AWE,COST,DOV
10/29/04,LH,SOTR,CTRA,DD
11/30/04,LLL,WLP,CCI,DPH
12/2/04,FSLB,,CSX,DRI
12/17/04,ASN,CR,CMI,DTE
12/17/04,,DLX,CVS,DUK
12/17/04,CBSS,WOR,DHI,EC
12/28/04,XTO,PSFT,DHR,ECL
3/11/05,NOV,PWER,DRI,ED
3/24/05,SHLD,,DVA,EDS
7/1/05,DHI,,DE,EFU
7/1/05,STZ,,DAL,EFX
7/21/05,WFT,TOY,XRAY,EIX
8/10/05,TSN,UCL,DVN,KODK
8/11/05,VNO,SDS,DXCM,EMC
8/12/05,MUR,NXTL,FANG,EMN
8/18/05,PSA,DAL,DLR,EMR
8/29/05,CVH,MAY,DFS,ENRNQ
9/30/05,AMP,,DISCA,EP
10/3/05,LEN,,DISCK,ETN
10/10/05,PDCO,DPH,DISH,ETR
11/18/05,AMZN,,DG,ETS
12/1/05,GNW,CPN,DLTR,EXC
12/19/05,SSP,GP,D,F
12/30/05,VIAB,VC,DPZ,FBF
12/30/05,WFM,KRB,DOV,FCX
1/3/06,,MERQ,DOW,FDC
1/4/06,EL,,DTE,FDX
1/31/06,VRSN,RBK,DUK,FE
1/31/06,HAR,SEBL,DRE,FITB
2/24/06,BRL,SFA,DD,FJ
3/2/06,CHK,DAN,DXC,FLE
3/31/06,DF,MYG,EMN,FMC
3/31/06,KIM,JP,ETN,FNMA
3/31/06,BXP,CIN,EBAY,FPC
3/31/06,GOOGL,,ECL,FMCC
4/19/06,SNDK,CHIR,EIX,FWLT
4/21/06,LM,GDT,EW,GAP
5/17/06,,AMCC,EA,GD
6/1/06,JNPR,ABS,EMR,GDT
6/5/06,CBH,EC,ENPH,GDW
6/27/06,CNX,KRI,ETR,GE
7/17/06,WIN,CTB,EOG,NLV
7/31/06,WYND,CAR,EPAM,GIS
7/31/06,RLGY,GTW,EFX,GLW
8/10/06,CME,,EQIX,GM
9/29/06,SII,GDW,EQR,GP
9/29/06,WU,ANDW,ESS,GPC
11/3/06,CELG,ASO,EL,GPS
11/9/06,CBRE,FSH,ETSY,GPU
11/9/06,FIS,LPX,RE,GR
11/16/06,CTSH,ACV,EVRG,GRA
11/17/06,BTU,HCA,ES,GT
11/30/06,IAC,LU,EXC,GTW
11/30/06,STR,NFB,EXPE,GWW
12/1/06,DTV,FSLB,EXPD,HAL
12/19/06,TEX,NAV,EXR,HAS
12/29/06,SE,PAR,XOM,HBAN
1/3/07,VAL,BLS,FFIV,HCA
1/9/07,AVB,SBL,FDS,HCR
2/1/07,RL,CMVT,FAST,HD
2/9/07,VAR,EOP,FRT,HES
2/14/07,HCBK,APCC,FDX,CZR
2/21/07,TEG,PGL,FITB,HIG
3/1/07,CHRW,HMA,FRC,HLT
3/19/07,HST,PD,FE,HM
3/22/07,SITC,CMX,FIS,HNZ
3/28/07,ANF,UVN,FISV,HON
3/30/07,,TSG,FLT,HPC
4/9/07,AIZ,RLGY,FMC,HPQ
5/30/07,SUNEQ,KMI,F,HRB
5/31/07,PCP,MEDI,FTNT,EHC
6/29/07,TEL,PMCS,FTV,HSH
6/29/07,COV,SANM,FBHS,HSY
6/29/07,GGP,MEL,FOXA,HUM
6/29/07,DFS,ADCT,FOX,IBM
7/6/07,ACAS,DG,BEN,IFF
7/11/07,AKAM,BMET,FCX,IHRT
8/24/07,JEF,KSE,GPS,IKN
9/7/07,MCHP,CBSS,GRMN,INTC
9/24/07,,FDC,IT,IP
9/25/07,ICE,,GE,IPG
9/26/07,ANDV,MXIM,GNRC,TT
9/28/07,TDC,NCR,GD,ITT
10/1/07,EXPE,SLR,GIS,ITW
10/5/07,NBL,ASN,GPC,JAVA
10/9/07,EXPD,TXU,GILD,JCI
10/24/07,NYX,HLT,GL,JCP
10/25/07,J,AV,GPN,JNJ
10/26/07,TIE,BOL,GM,JOS
11/8/07,POM,HCR,GS,JP
11/15/07,MTW,TEK,GWW,JPM
11/16/07,AMT,,HAL,JWN
12/13/07,GME,DJ,HIG,K
12/20/07,RRC,TRCO,HAS,KATE
12/28/07,GHC,TIN,HCA,KBH
12/31/07,TSS,SNV,PEAK,KEY
1/28/08,CAM,CZR,HSIC,KLAC
3/28/08,PEAK,CBH,HSY,KM
3/28/08,PM,,HES,KMB
6/2/08,ISRG,BSC,HPE,KO
6/6/08,SWN,,HLT,KR
6/10/08,LO,AMBC,HOLX,KRB
6/20/08,MEE,,HD,KRI
6/20/08,,BC,HON,KSS
6/30/08,SNI,SSP,HRL,KSU
6/30/08,AKS,CFC,HST,L
7/17/08,MA,CB,HWM,LDG
7/30/08,DVA,IHRT,HPQ,LEG
8/20/08,IVZ,IAC,HUM,LEHMQ
8/26/08,CF,EDS,HBAN,LLY
9/10/08,,FMCC,HII,LMT
9/10/08,,FNMA,IEX,LNC
9/12/08,CRM,,IDXX,LOW
9/12/08,FAST,,INFO,LPX
9/16/08,,LEHMQ,ITW,LU
9/19/08,LHX,,ILMN,LUV
9/22/08,,SAF,INCY,LXK
9/23/08,PXD,,IR,M
9/29/08,APH,WEN,INTC,MAR
9/29/08,,COOP,ICE,MAS
10/1/08,FLS,,IBM,MAT
10/3/08,DPS,WWY,IP,MAY
10/21/08,NDAQ,DDS,IPG,MBI
10/30/08,WEC,MTG,IFF,MCD
11/5/08,SJM,TEX,INTU,MCK
11/10/08,,UIS,ISRG,MDP
11/12/08,,GGP,IVZ,MDR
11/12/08,PBCT,,IPGP,MDT
11/13/08,XRAY,HPC,IQV,MEA
11/13/08,WYNN,ASH,IRM,MEE
11/14/08,CEPH,,JKHY,MEL
11/18/08,SRCL,,J,MER
11/21/08,,ABI,JBHT,MIL
12/1/08,DNB,KATE,SJM,MKG
12/4/08,RSG,AW,JNJ,MMC
12/18/08,EQT,RIG,JCI,MMM
12/22/08,MFE,BRL,JPM,MO
12/31/08,SCG,MER,JNPR,MOLX
12/31/08,FLIR,NCC,K,MRK
12/31/08,OI,WB,KEY,MRO
1/5/09,IRM,UST,KEYS,MS
1/29/09,WELL,SOV,KMB,MSFT
2/25/09,DO,WFT,KIM,MSI
3/3/09,VTR,JNY,KMI,MTG
3/3/09,HRL,ACAS,KLAC,MU
3/16/09,ES,JCI,KHC,MYG
3/26/09,ORLY,NE,KR,MZ
3/27/09,TWC,SITC,LHX,NAV
4/1/09,DNR,ROH,LH,NC
6/2/09,,GM,LRCX,NCC
6/4/09,FTI,COV,LW,NCE
6/8/09,ATGE,,LVS,NEE
6/25/09,,TEL,LDOS,NEM
6/29/09,TMUS,,LEN,NGH
6/30/09,WDC,,LLY,NKE
6/30/09,PWR,TT,LNC,NMK
7/24/09,RHT,CIT,LIN,NOC
8/18/09,FMC,CTX,LYV,NOVL
8/31/09,CFN,MTW,LKQ,NSC
9/8/09,ARG,CBE,LMT,NSI
10/15/09,FSLR,WYE,L,NT
11/3/09,BKNG,SGP,LOW,NTAP
12/18/09,MJN,MBI,LUMN,NTRS
12/18/09,V,CIEN,LYB,NUE
12/18/09,ROST,DYN,MTB,NWL
12/18/09,CLF,KBH,MRO,NXTL
12/18/09,LDOS,CVG,MPC,NYT
12/22/09,ROP,VAL,MKTX,OAT
1/27/10,NRG,JAVA,MAR,ODP
2/5/10,URBN,ACS,MMC,OI
2/12/10,BRK.B,BNI,MLM,OK
2/26/10,DISCA,PBG,MAS,OKE
2/26/10,HP,IMS,MA,OMC
3/12/10,OKE,BDK,MTCH,ONE
4/29/10,CERN,BJS,MKC,ORCL
6/28/10,KMX,XTO,MCD,OC
6/30/10,QEP,STR,MCK,OXY
7/14/10,CB,MIL,MDT,PAYX
8/26/10,JCI,SII,MRK,PBI
11/16/10,TT,PTV,FB,PBY
12/17/10,RMG,KG,MET,PCAR
12/17/10,FFIV,KODK,MTD,PCG
12/17/10,NFLX,ODP,MGM,PCH
12/17/10,NFX,NYT,MCHP,PD
1/3/11,,MDP,MU,PDG
1/14/11,NE,QLGC,MSFT,PEG
2/25/11,JOY,AYE,MAA,PEP
2/28/11,COV,MFE,MRNA,PFE
3/31/11,EW,,MHK,PG
4/1/11,BLK,GENZ,TAP,PGL
4/27/11,CMG,NOVL,MDLZ,PGN
6/1/11,ANR,MEE,MPWR,PGR
6/30/11,MPC,RSH,MNST,PH
7/5/11,ACN,MI,MCO,PHA
9/23/11,MOS,,MS,PHM
10/14/11,TEL,CEPH,MOS,PKI
10/31/11,XYL,ITT,MSI,PLL
11/22/11,CBE,JNS,MSCI,PNC
12/12/11,GAS,,NDAQ,PNU
12/16/11,BWA,AKS,NTAP,PNW
12/16/11,PRGO,MWW,NFLX,PPG
12/16/11,DLTR,SUNEQ,NWL,PPL
12/20/11,TRIP,TLAB,NEM,PRD
12/30/11,WPX,CPWR,NWSA,PSFT
3/13/12,CCI,CEG,NWS,PAR
4/3/12,FOSL,MHS,NEE,PTV
4/30/12,PSX,SVU,NLSN,PWJ
5/24/12,ALXN,,NKE,LIN
5/24/12,KMI,EP,NI,QCOM
6/5/12,LRCX,,NSC,QTRN
6/28/12,MNST,HSH,NTRS,R
6/29/12,STX,PGN,NOC,RAD
7/30/12,VAL,GR,NLOK,RAL
9/4/12,LYB,SHLD,NCLH,RBK
9/28/12,ADT,LXK,NRG,RD
9/28/12,PNR,ATGE,NUE,RDC
10/1/12,KHC,ANR,NVDA,RF
10/4/12,PETM,,NVR,RIG
11/30/12,DG,CBE,NXPI,RLM
12/11/12,GRMN,RRD,ORLY,RML
12/21/12,APTV,TIE,OXY,ROH
1/2/13,ABBV,FHI,ODFL,ROK
2/13/13,PVH,BIG,OMC,RRD
4/30/13,REGN,TMUS,OKE,RSH
5/8/13,MAC,CVH,ORCL,RTN
5/23/13,KSU,DF,OGN,IMS
6/6/13,GM,HNZ,OTIS,S
6/21/13,ZTS,FHN,PCAR,SAF
6/28/13,NWSA,APOL,PKG,SCHW
7/8/13,NLSN,S,PH,SEE
9/10/13,DAL,BMMI,PAYX,SEG
9/20/13,VRTX,AMD,PAYC,SFA
9/20/13,AME,LDOS,PYPL,SGP
10/28/13,RIG,DELL,PENN,SHW
11/12/13,CPRI,NYX,PNR,SIAL
11/29/13,ALLE,JCP,PBCT,SLB
12/9/13,GGP,MOLX,PEP,SLM
12/20/13,ADS,ANF,PKI,SLR
12/20/13,MHK,VIAV,PFE,SMI
12/20/13,FB,TER,PM,SMS
1/23/14,TSCO,,PSX,SNA
3/21/14,GMCR,WPX,PNW,SNV
4/1/14,ESS,CLF,PXD,SO
4/3/14,GOOG,,PNC,SOTR
5/1/14,NAVI,SLM,POOL,SPGI
5/7/14,AVGO,,PPG,SPLS
6/20/14,XEC,,PPL,SRE
6/30/14,AMG,FRX,PFG,SCI
7/1/14,MLM,X,PG,STI
8/6/14,DISCK,,PGR,STJ
8/18/14,MNK,RDC,PLD,STT
9/19/14,URI,BTU,PRU,SUB
9/19/14,UHS,GHC,PEG,SVU
11/4/14,LVLT,JBL,PTC,SWK
12/4/14,RCL,BMS,PSA,SWY
1/26/15,HCA,SWY,PHM,SYY
1/26/15,ENDP,COV,PVH,T
3/11/15,SWKS,PETM,QRVO,TAP
3/17/15,HSIC,CFN,PWR,TEK
3/20/15,AAL,,QCOM,TER
3/20/15,EQIX,DNR,DGX,TGNA
3/20/15,SLG,NBR,RL,TGT
3/20/15,HBI,AVP,RJF,THC
4/6/15,O,WIN,RTX,TIN
6/11/15,QRVO,LO,O,TJX
6/30/15,JBHT,TEG,REG,TKR
6/30/15,BXLT,QEP,REGN,TLAB
7/1/15,CPGX,ATI,RF,TMC.A
7/8/15,AAP,FDO,RSG,GL
7/17/15,PYPL,NE,RMD,TMO
7/28/15,SIG,DTV,RHI,TNB
8/28/15,ATVI,PLL,ROK,TOS
9/2/15,UAL,HSP,ROL,TOY
9/18/15,CMCSK,,ROP,TRCO
9/18/15,NWS,,ROST,TROW
10/7/15,VRSK,JOY,RCL,TRV
11/2/15,HPE,HCBK,SPGI,TUP
11/17/15,SYF,GNW,CRM,TWX
11/18/15,ILMN,SIAL,SBAC,TX
11/30/15,CSRA,CSC,SLB,TXN
12/11/15,,CMCSK,STX,TXT
12/28/15,CHD,,SEE,TXU
1/4/16,,FOSL,SRE,U
1/15/16,EXR,,NOW,UCL
1/29/16,CFG,PCP,SHW,UCM
1/29/16,FRT,BRCM,SBNY,UIS
2/19/16,CXO,PCL,SPG,UK
3/3/16,AWK,CNX,SWKS,UMG
3/4/16,UDR,GMCR,SNA,UN
3/29/16,HOLX,POM,SEDG,UNH
3/29/16,CNC,VAL,SO,UNM
4/1/16,FL,CAM,LUV,UNP
4/14/16,UA,,SWK,UPC
4/15/16,ULTA,THC,SBUX,UPR
4/22/16,GPN,GME,STT,USB
5/2/16,AYI,ADT,STE,UST
5/12/16,ALK,SNDK,SYK,USW
5/17/16,DLR,TWC,SIVB,RTX
5/20/16,LKQ,ARG,SYF,VFC
5/27/16,AJG,CCE,SNPS,VMC
6/2/16,TDG,BXLT,SYY,VO
6/23/16,FBHS,RMG,TMUS,VZ
6/30/16,LNT,GAS,TROW,COOP
6/30/16,ALB,TE,TTWO,WB
7/1/16,FTV,,TPR,WBA
7/5/16,,CPGX,TGT,WCOM
9/2/16,MTD,,TEL,WEN
9/7/16,CHTR,EMC,TDY,WFC
9/22/16,COO,HOT,TFX,WHR
9/30/16,COTY,DO,TER,WLA
11/1/16,HWM,AA,TSLA,WLP
12/1/16,MAA,OI,TXN,WM
12/1/16,EVHC,LM,TXT,WMB
1/4/17,IDXX,STJ,TMO,WMT
2/27/17,INCY,SE,TJX,WOR
2/28/17,CBOE,PBI,TSCO,WRK
3/1/17,REG,ENDP,TT,WWY
3/13/17,DISH,LLTC,TDG,WY
3/15/17,SNPS,HAR,TRV,WYE
3/20/17,AMD,URBN,TRMB,X
3/20/17,RJF,FTR,TFC,XEL
3/20/17,ARE,FSLR,TWTR,XLNX
4/3/17,DXC,SWN,TYL,XOM
4/4/17,IT,DNB,TSN,XRX
6/1/17,INFO,TGNA,UDR,YHOO
6/19/17,RE,MJN,ULTA,YUM
6/19/17,HLT,YHOO,USB,BBWI
6/19/17,ALGN,TDC,UAA,
6/19/17,ANSS,R,UA,
7/25/17,MGM,RAI,UNP,
7/25/17,RMD,MNK,UAL,
7/25/17,PKG,MUR,UNH,
7/25/17,AOS,BBBY,UPS,
7/25/17,DRE,RIG,URI,
8/7/17,BHF,,UHS,
8/7/17,,AN,VLO,
8/28/17,IQV,WFM,VTR,
8/31/17,SBAC,,VRSN,
9/18/17,CDNS,SPLS,VRSK,
10/12/17,NCLH,LVLT,VZ,
12/28/17,,BCR,VRTX,
1/2/18,HII,,VFC,
3/6/18,IPGP,SNI,VIAC,
3/19/18,TTWO,SIG,VTRS,
3/19/18,SIVB,PDCO,V,
3/19/18,NKTR,CHK,VNO,
4/3/18,MSCI,CSRA,VMC,
5/30/18,ABMD,WYND,WRB,
6/4/18,EVRG,NAVI,WAB,
6/6/18,TWTR,MON,WMT,
6/15/18,HFC,AYI,WBA,
6/15/18,BR,RRC,DIS,
6/19/18,FLT,TWX,WM,
6/29/18,CPRT,DPS,WAT,
8/27/18,ANET,GGP,WEC,
9/14/18,WCG,XL,WFC,
9/28/18,ROL,ANDV,WELL,
10/10/18,FTNT,EVHC,WST,
11/5/18,KEYS,CA,WDC,
11/12/18,JKHY,EQT,WRK,
11/30/18,FANG,SRCL,WY,
11/30/18,MXIM,AET,WHR,
11/30/18,LW,COL,WMB,
12/21/18,CE,ESRX,WTW,
12/31/18,FRC,SCG,WYNN,
1/17/19,TFX,PCG,XEL,
2/14/19,ATO,NFX,XLNX,
2/26/19,WAB,GT,XYL,
7/1/13,FOXA,,YUM,
9/18/15,FOX,,ZBRA,
4/1/19,DOW,,ZBH,
4/2/19,,BHF,ZION,
5/31/19,CTVA,FLR,ZTS,
6/6/19,AMCR,MAT,,
6/28/19,MKTX,LLL,,
7/12/19,TMUS,RHT,,
8/8/19,LDOS,APC,,
8/8/19,IEX,FL,,
9/20/19,CDW,TSS,,
9/25/19,NVR,JEF,,
10/2/19,LVS,NKTR,,
11/20/19,NOW,CELG,,
12/4/19,WRB,VIAB,,
12/6/19,ODFL,STI,,
12/20/19,STE,MAC,,
12/20/19,ZBRA,TRIP,,
12/20/19,LYV,AMG,,
1/27/20,PAYC,WCG,,
3/2/20,IR,XEC,,
4/2/20,CARR,,,
4/2/20,OTIS,,,
4/6/20,,M,,
4/6/20,,RTN,,
5/11/20,DXCM,AGN,,
5/11/20,DPZ,CPRI,,
5/21/20,WST,HP,,
6/19/20,TYL,HOG,,
6/19/20,BIO,JWN,,
6/19/20,TDY,ADS,,
9/21/20,TER,COTY,,
9/21/20,ETSY,HRB,,
9/21/20,CTLT,KSS,,
10/7/20,POOL,ETFC,,
10/9/20,VNT,,,
10/12/20,,NBL,,
12/21/20,TSLA,AIV,,
1/7/21,ENPH,TIF,,
1/21/21,TRMB,CXO,,
2/12/21,MPWR,FTI,,
3/22/21,NXPI,FLS,,
3/22/21,PENN,SLG,,
3/22/21,CZR,VNT,,
3/22/21,GNRC,XRX,,
4/20/21,PTC,VAR,,
5/14/21,CRL,FLIR,,
6/3/21,OGN,,,
6/4/21,,HFC,,
7/21/21,MRNA,ALXN,,
8/30/21,TECH,MXIM,,
9/20/21,BRO,NOV,,
9/20/21,MTCH,PRGO,,
9/20/21,CDAY,UNM,,
12/14/21,EPAM,KSU,,
12/20/21,SEDG,HBI,,
12/20/21,SBNY,LEG,,
12/20/21,FDS,WU,,
10/2/12,MDLZ,,,
8/26/10,TYC,,,
9/6/16,,TYC,,
12/17/10,CVC,,,
6/22/16,,CVC,,
4/23/04,VTRS,,,
6/23/08,CTRA,,,
4/30/14,UAA,,,
1/5/16,WTW,,,
